Accident_ID,Accident_Severity,Accident_Date,Latitude,Longitude,Light_Conditions,District_Area,Number_of_Casualties,Number_of_Vehicles,Vehicle_Type,Road_Surface_Conditions,Road_Type,Urban_or_Rural
BD202000018,Serious,18-04-2020,22.942923,91.292241,Darkness - no lights,Feni,4,3,Rickshaw,Under construction,Narrow road,Rural
BD202000019,Serious,02-03-2020,24.783947,90.405937,Daylight,Mymensingh,4,1,Motorcycle,Wet or damp,Dual carriage,Urban
BD202000020,Fatal,28-12-2020,22.281308,91.782042,Darkness - lights lit,Chattogram,4,1,Truck,Wet or damp,Single lane,Rural
BD202000021,Slight,19-04-2020,22.888878,91.487037,Darkness - lights lit,Feni,3,5,Motorcycle,Under construction,Single lane,Urban
BD202000022,Serious,18-02-2020,24.315356,88.663105,Darkness - lights lit,Rajshahi,7,3,Pickup,Dry,Narrow road,Urban
BD202000023,Fatal,01-02-2020,23.585942,90.505216,Daylight,Narayanganj,6,1,Motorcycle,Under construction,Dual carriage,Rural
BD202000024,Fatal,03-04-2020,23.472142,91.105265,Darkness - lights lit,Comilla,8,2,Truck,Dry,Narrow road,Urban
BD202000025,Serious,17-02-2020,24.841017,90.486332,Darkness - lights lit,Mymensingh,3,4,Motorcycle,Under construction,Dual carriage,Urban
BD202000026,Serious,13-07-2020,23.8982,90.507259,Darkness - lights lit,Dhaka,7,3,Van,Under construction,Dual carriage,Urban
BD202000027,Slight,31-05-2020,25.76348,89.37645,Darkness - no lights,Rangpur,1,5,Bus,Slippery,Dual carriage,Urban
BD202000028,Fatal,26-10-2020,23.826699,89.046836,Daylight,Kushtia,9,5,Truck,Wet or damp,Dual carriage,Urban
BD202000029,Slight,11-12-2020,24.656145,90.378379,Daylight,Mymensingh,7,1,Bus,Dry,Single lane,Rural
BD202000030,Serious,13-05-2020,25.721635,89.220324,Darkness - lights lit,Rangpur,6,2,Car,Slippery,Single lane,Rural
BD202000031,Slight,07-02-2020,23.876048,90.378121,Daylight,Dhaka,8,5,Truck,Wet or damp,Narrow road,Rural
BD202000032,Serious,08-03-2020,24.806187,89.380247,Darkness - lights lit,Bogura,2,2,Car,Under construction,Narrow road,Rural
BD202000033,Serious,09-11-2020,23.934185,89.306327,Darkness - no lights,Pabna,1,5,Truck,Wet or damp,Single lane,Urban
BD202000034,Serious,24-02-2020,22.89691,91.505653,Darkness - no lights,Feni,3,3,Motorcycle,Slippery,Dual carriage,Rural
BD202000035,Fatal,15-09-2020,23.963449,89.047492,Darkness - no lights,Kushtia,5,1,Van,Slippery,Dual carriage,Urban
BD202000036,Slight,19-06-2020,22.602104,90.429211,Darkness - lights lit,Barisal,5,2,Van,Dry,Dual carriage,Urban
BD202000037,Serious,19-12-2020,22.742371,90.408462,Darkness - no lights,Barisal,9,1,Car,Under construction,Dual carriage,Urban
BD202000038,Fatal,06-06-2020,24.904254,89.267771,Darkness - no lights,Bogura,1,3,Motorcycle,Dry,Single lane,Rural
BD202000039,Fatal,13-11-2020,22.672693,90.261309,Darkness - lights lit,Barisal,4,2,Bus,Wet or damp,Narrow road,Rural
BD202000040,Slight,29-07-2020,24.819721,90.449892,Daylight,Mymensingh,5,2,Van,Dry,Single lane,Urban
BD202000041,Fatal,12-04-2020,23.96718,90.315254,Daylight,Gazipur,6,3,Bus,Wet or damp,Single lane,Rural
BD202000042,Slight,22-05-2020,22.807796,89.498344,Darkness - no lights,Khulna,5,3,Van,Slippery,Dual carriage,Urban
BD202000043,Fatal,13-05-2020,24.940821,91.901714,Daylight,Sylhet,10,3,Van,Slippery,Narrow road,Rural
BD202000044,Slight,11-08-2020,24.083443,89.227132,Daylight,Pabna,2,4,Bicycle,Dry,Narrow road,Rural
BD202000045,Serious,01-01-2020,23.929919,89.284979,Darkness - lights lit,Pabna,9,2,Truck,Slippery,Narrow road,Rural
BD202000046,Serious,05-12-2020,24.415757,88.638807,Darkness - no lights,Rajshahi,5,5,Van,Slippery,Single lane,Rural
BD202000047,Slight,10-10-2020,22.755193,90.352011,Darkness - lights lit,Barisal,4,4,Car,Slippery,Single lane,Urban
BD202000048,Slight,04-06-2020,22.821247,91.08241,Darkness - no lights,Noakhali,4,4,Rickshaw,Under construction,Single lane,Rural
BD202000049,Slight,11-12-2020,25.648984,89.181094,Daylight,Rangpur,9,4,Truck,Slippery,Narrow road,Rural
BD202000050,Fatal,17-02-2020,24.653386,90.453038,Daylight,Mymensingh,5,2,Bus,Dry,Dual carriage,Rural
BD202000051,Slight,08-11-2020,22.808471,89.542357,Darkness - no lights,Khulna,8,4,Motorcycle,Under construction,Single lane,Rural
BD202000052,Serious,04-05-2020,22.782513,90.29333,Daylight,Barisal,1,1,Car,Under construction,Dual carriage,Urban
BD202000053,Slight,03-03-2020,23.983077,90.481332,Darkness - no lights,Gazipur,3,4,Rickshaw,Under construction,Narrow road,Rural
BD202000054,Serious,07-10-2020,23.94676,90.318475,Darkness - lights lit,Gazipur,3,4,Motorcycle,Slippery,Narrow road,Rural
BD202000055,Fatal,16-11-2020,24.70505,90.338993,Darkness - no lights,Mymensingh,5,4,Bicycle,Wet or damp,Single lane,Rural
BD202000056,Fatal,12-06-2020,23.06794,91.462749,Daylight,Feni,2,2,Van,Wet or damp,Narrow road,Urban
BD202000057,Slight,02-02-2020,24.276681,90.005851,Darkness - lights lit,Tangail,7,3,Van,Dry,Dual carriage,Rural
BD202000058,Serious,18-07-2020,23.871034,90.337277,Daylight,Dhaka,10,4,Rickshaw,Slippery,Single lane,Rural
BD202000059,Serious,02-10-2020,23.060512,91.398242,Daylight,Feni,10,2,Bicycle,Under construction,Single lane,Urban
BD202000060,Serious,18-07-2020,23.228188,89.315062,Daylight,Jessore,7,2,Bus,Under construction,Narrow road,Urban
BD202000061,Fatal,12-02-2020,24.213601,89.823112,Daylight,Tangail,3,4,Bicycle,Under construction,Single lane,Urban
BD202000062,Serious,20-08-2020,23.112287,89.202506,Darkness - lights lit,Jessore,6,4,Bicycle,Dry,Single lane,Urban
BD202000063,Slight,03-10-2020,22.420503,91.869775,Daylight,Chattogram,6,2,Bus,Dry,Dual carriage,Urban
BD202000064,Serious,11-01-2020,22.60239,90.356079,Darkness - no lights,Barisal,4,2,Truck,Wet or damp,Single lane,Rural
BD202000065,Slight,07-07-2020,24.878382,91.802006,Darkness - no lights,Sylhet,10,5,Truck,Wet or damp,Single lane,Urban
BD202000066,Slight,23-10-2020,23.734273,90.373528,Darkness - lights lit,Dhaka,5,5,Van,Wet or damp,Dual carriage,Urban
BD202000067,Slight,22-02-2020,22.905282,91.057369,Daylight,Noakhali,10,1,Rickshaw,Under construction,Narrow road,Rural
BD202000068,Serious,05-02-2020,24.009758,89.282525,Darkness - lights lit,Pabna,6,1,Truck,Under construction,Single lane,Rural
BD202000069,Slight,28-12-2020,22.673726,90.466728,Darkness - no lights,Barisal,7,2,Bicycle,Under construction,Single lane,Rural
BD202000070,Fatal,30-10-2020,23.555289,91.121328,Darkness - lights lit,Comilla,6,2,Pickup,Wet or damp,Single lane,Rural
BD202000071,Fatal,21-06-2020,23.80975,90.364711,Darkness - lights lit,Dhaka,8,3,Motorcycle,Slippery,Single lane,Rural
BD202000072,Slight,23-05-2020,23.419768,91.069753,Daylight,Comilla,9,1,Truck,Wet or damp,Narrow road,Rural
BD202000073,Slight,07-09-2020,23.003913,91.389443,Darkness - no lights,Feni,4,4,Pickup,Under construction,Dual carriage,Urban
BD202000074,Serious,30-05-2020,24.657396,90.367175,Darkness - no lights,Mymensingh,7,2,Rickshaw,Under construction,Narrow road,Rural
BD202000075,Slight,05-08-2020,23.063653,91.326295,Darkness - lights lit,Feni,6,3,Bicycle,Slippery,Single lane,Urban
BD202000076,Slight,02-03-2020,25.672879,89.272669,Darkness - no lights,Rangpur,6,1,Car,Wet or damp,Dual carriage,Rural
BD202000077,Fatal,21-05-2020,24.10313,89.171893,Daylight,Pabna,10,3,Bicycle,Wet or damp,Single lane,Urban
BD202000078,Serious,03-06-2020,23.844727,90.475289,Daylight,Dhaka,9,2,Bus,Slippery,Narrow road,Urban
BD202000079,Slight,22-11-2020,23.856528,89.174572,Darkness - lights lit,Kushtia,2,1,Pickup,Under construction,Single lane,Rural
BD202000080,Fatal,04-04-2020,22.330457,91.814953,Daylight,Chattogram,5,4,Van,Under construction,Dual carriage,Urban
BD202000081,Fatal,18-03-2020,22.727706,90.362086,Daylight,Barisal,10,3,Truck,Under construction,Narrow road,Urban
BD202000082,Serious,24-09-2020,23.541658,90.580873,Darkness - no lights,Narayanganj,8,4,Van,Slippery,Narrow road,Urban
BD202000083,Serious,08-11-2020,24.327756,88.548864,Darkness - no lights,Rajshahi,4,2,Truck,Wet or damp,Dual carriage,Urban
BD202000084,Serious,09-10-2020,22.753755,89.562114,Darkness - lights lit,Khulna,3,1,Pickup,Slippery,Dual carriage,Urban
BD202000085,Slight,27-05-2020,22.852213,90.983781,Daylight,Noakhali,8,1,Bicycle,Wet or damp,Single lane,Urban
BD202000086,Fatal,05-10-2020,24.749519,90.354659,Daylight,Mymensingh,3,3,Bus,Wet or damp,Single lane,Rural
BD202000087,Slight,12-08-2020,24.392635,88.545948,Darkness - lights lit,Rajshahi,8,3,Bicycle,Under construction,Single lane,Urban
BD202000088,Slight,02-11-2020,22.395088,91.756016,Darkness - lights lit,Chattogram,7,3,Bus,Dry,Dual carriage,Urban
BD202000089,Fatal,10-12-2020,23.550146,91.093905,Darkness - lights lit,Comilla,10,1,Pickup,Slippery,Dual carriage,Rural
BD202000090,Serious,21-11-2020,23.877213,89.027034,Darkness - lights lit,Kushtia,2,4,Rickshaw,Slippery,Narrow road,Urban
BD202000091,Serious,23-03-2020,23.251639,89.310561,Darkness - no lights,Jessore,7,4,Van,Dry,Single lane,Urban
BD202000092,Serious,10-06-2020,23.414388,91.219296,Darkness - no lights,Comilla,6,1,Bus,Under construction,Single lane,Urban
BD202000093,Serious,06-04-2020,24.069444,89.247048,Darkness - no lights,Pabna,6,5,Pickup,Dry,Dual carriage,Rural
BD202000094,Slight,08-10-2020,22.70693,90.291545,Darkness - lights lit,Barisal,5,4,Truck,Dry,Narrow road,Urban
BD202000095,Fatal,29-12-2020,24.813521,91.964032,Darkness - no lights,Sylhet,5,5,Van,Dry,Dual carriage,Urban
BD202000096,Slight,24-08-2020,24.443684,88.656044,Darkness - lights lit,Rajshahi,3,4,Bicycle,Under construction,Single lane,Rural
BD202000097,Serious,04-05-2020,23.968806,90.38381,Daylight,Gazipur,9,2,Car,Dry,Single lane,Rural
BD202000098,Serious,23-06-2020,24.051191,89.329106,Darkness - no lights,Pabna,5,1,Bicycle,Under construction,Dual carriage,Rural
BD202000099,Slight,02-10-2020,23.986417,89.18697,Darkness - no lights,Kushtia,6,3,Van,Under construction,Single lane,Urban
BD202000100,Fatal,23-12-2020,24.775506,90.320494,Darkness - lights lit,Mymensingh,10,4,Bus,Slippery,Narrow road,Rural
BD202000101,Serious,27-12-2020,23.555926,90.596053,Daylight,Narayanganj,7,2,Car,Slippery,Dual carriage,Rural
BD202000102,Slight,21-02-2020,24.027286,89.116007,Daylight,Pabna,8,1,Van,Wet or damp,Dual carriage,Rural
BD202000103,Slight,15-05-2020,23.086994,89.25924,Daylight,Jessore,10,4,Rickshaw,Under construction,Single lane,Rural
BD202000104,Fatal,04-10-2020,22.257912,91.701794,Darkness - no lights,Chattogram,10,1,Bicycle,Wet or damp,Narrow road,Urban
BD202000105,Fatal,10-08-2020,24.373347,88.670155,Darkness - no lights,Rajshahi,2,4,Bicycle,Dry,Dual carriage,Rural
BD202000106,Serious,29-01-2020,22.847092,91.033625,Daylight,Noakhali,6,3,Motorcycle,Under construction,Narrow road,Urban
BD202000107,Serious,28-03-2020,24.937336,91.80564,Darkness - no lights,Sylhet,2,5,Motorcycle,Under construction,Narrow road,Urban
BD202000108,Serious,28-04-2020,23.96608,90.479158,Darkness - no lights,Gazipur,5,4,Bus,Under construction,Single lane,Urban
BD202000109,Serious,07-02-2020,24.030927,90.503814,Darkness - no lights,Gazipur,6,5,Van,Slippery,Single lane,Rural
BD202000110,Fatal,11-04-2020,23.655123,90.516794,Darkness - lights lit,Narayanganj,8,1,Rickshaw,Slippery,Narrow road,Rural
BD202000111,Slight,12-01-2020,23.542335,90.468652,Darkness - no lights,Narayanganj,5,1,Bus,Under construction,Single lane,Urban
BD202000112,Slight,06-11-2020,24.80304,89.308558,Darkness - lights lit,Bogura,4,2,Car,Dry,Narrow road,Urban
BD202000113,Serious,07-06-2020,24.095602,90.394343,Darkness - no lights,Gazipur,1,5,Car,Dry,Single lane,Rural
BD202000114,Slight,31-07-2020,24.973309,91.900173,Darkness - lights lit,Sylhet,4,2,Bicycle,Wet or damp,Single lane,Rural
BD202000115,Fatal,31-05-2020,23.225662,89.220633,Daylight,Jessore,2,4,Motorcycle,Under construction,Narrow road,Rural
BD202000116,Slight,16-02-2020,23.638981,90.498604,Daylight,Narayanganj,1,3,Pickup,Slippery,Narrow road,Rural
BD202000117,Slight,26-10-2020,23.562649,90.553789,Daylight,Narayanganj,6,1,Pickup,Dry,Narrow road,Rural
BD202000118,Slight,08-11-2020,24.703254,90.306136,Darkness - lights lit,Mymensingh,2,4,Van,Dry,Dual carriage,Urban
BD202000119,Fatal,20-01-2020,22.845794,91.022307,Daylight,Noakhali,8,1,Car,Under construction,Single lane,Rural
BD202000120,Slight,09-12-2020,23.070092,91.497743,Darkness - no lights,Feni,7,5,Car,Under construction,Narrow road,Urban
BD202000121,Slight,07-09-2020,24.332973,89.885538,Darkness - lights lit,Tangail,5,1,Motorcycle,Under construction,Single lane,Urban
BD202000122,Slight,04-07-2020,24.266691,88.726896,Darkness - lights lit,Rajshahi,6,5,Bus,Under construction,Single lane,Urban
BD202000123,Slight,03-03-2020,23.986637,90.531997,Darkness - no lights,Gazipur,2,2,Bus,Dry,Single lane,Urban
BD202000124,Fatal,05-03-2020,25.836624,89.359922,Darkness - no lights,Rangpur,2,5,Motorcycle,Wet or damp,Single lane,Urban
BD202000125,Fatal,01-11-2020,23.76919,90.384923,Darkness - no lights,Dhaka,5,2,Bicycle,Wet or damp,Dual carriage,Urban
BD202000126,Slight,08-03-2020,23.880527,90.368561,Darkness - lights lit,Dhaka,6,2,Bus,Wet or damp,Single lane,Urban
BD202000127,Slight,05-03-2020,24.183899,89.930332,Daylight,Tangail,9,1,Pickup,Under construction,Single lane,Urban
BD202000128,Fatal,19-08-2020,24.093231,89.280847,Darkness - no lights,Pabna,4,5,Bicycle,Under construction,Narrow road,Urban
BD202000129,Slight,01-02-2020,23.923012,89.023122,Daylight,Kushtia,7,4,Pickup,Under construction,Dual carriage,Urban
BD202000130,Serious,13-06-2020,22.724001,90.471113,Darkness - no lights,Barisal,2,2,Rickshaw,Under construction,Narrow road,Rural
BD202000131,Fatal,20-08-2020,23.934017,89.238199,Darkness - no lights,Pabna,10,4,Truck,Wet or damp,Single lane,Rural
BD202000132,Serious,26-04-2020,24.325475,89.974484,Darkness - lights lit,Tangail,6,4,Truck,Slippery,Single lane,Rural
BD202000133,Slight,06-12-2020,23.502203,91.229496,Darkness - lights lit,Comilla,6,2,Truck,Dry,Dual carriage,Urban
BD202000134,Slight,09-08-2020,24.335498,88.574562,Daylight,Rajshahi,6,2,Rickshaw,Dry,Single lane,Rural
BD202000135,Slight,06-12-2020,24.311872,89.991127,Darkness - lights lit,Tangail,1,3,Rickshaw,Dry,Narrow road,Urban
BD202000136,Serious,20-03-2020,23.982414,89.218978,Darkness - no lights,Kushtia,4,1,Rickshaw,Dry,Single lane,Urban
BD202000137,Slight,07-08-2020,22.984268,91.389164,Darkness - no lights,Feni,10,5,Bus,Slippery,Dual carriage,Urban
BD202000138,Fatal,19-05-2020,22.876359,91.135791,Daylight,Noakhali,6,3,Car,Under construction,Dual carriage,Urban
BD202000139,Fatal,20-11-2020,23.850693,90.48349,Darkness - lights lit,Dhaka,2,5,Van,Under construction,Single lane,Urban
BD202000140,Slight,08-07-2020,22.894701,91.060919,Daylight,Noakhali,6,5,Bus,Wet or damp,Dual carriage,Urban
BD202000141,Slight,11-12-2020,22.820717,89.442856,Darkness - lights lit,Khulna,5,4,Pickup,Under construction,Single lane,Rural
BD202000142,Serious,20-04-2020,24.021656,89.122426,Daylight,Pabna,2,3,Bicycle,Under construction,Narrow road,Rural
BD202000143,Fatal,24-01-2020,24.74022,90.430535,Daylight,Mymensingh,7,5,Motorcycle,Slippery,Dual carriage,Urban
BD202000144,Fatal,10-05-2020,22.774008,91.1216,Darkness - lights lit,Noakhali,6,1,Van,Wet or damp,Dual carriage,Rural
BD202000145,Slight,29-09-2020,24.6532,90.309264,Darkness - lights lit,Mymensingh,9,5,Truck,Under construction,Narrow road,Urban
BD202000146,Serious,11-08-2020,23.87482,90.378946,Darkness - no lights,Dhaka,8,1,Van,Under construction,Narrow road,Rural
BD202000147,Serious,28-05-2020,24.289012,88.629438,Daylight,Rajshahi,7,1,Pickup,Slippery,Dual carriage,Rural
BD202000148,Serious,24-02-2020,24.801099,90.352097,Darkness - no lights,Mymensingh,7,5,Truck,Under construction,Single lane,Rural
BD202000149,Slight,23-04-2020,23.191278,89.120483,Darkness - no lights,Jessore,3,1,Truck,Wet or damp,Single lane,Rural
BD202000150,Fatal,26-11-2020,22.611336,90.361025,Darkness - lights lit,Barisal,4,1,Motorcycle,Wet or damp,Narrow road,Urban
BD202000151,Serious,01-12-2020,22.853727,89.573283,Darkness - no lights,Khulna,3,4,Pickup,Slippery,Narrow road,Rural
BD202000152,Serious,18-03-2020,24.046218,90.534204,Darkness - no lights,Gazipur,2,4,Bicycle,Slippery,Narrow road,Urban
BD202000153,Serious,29-06-2020,24.00926,89.19131,Darkness - lights lit,Pabna,2,3,Bus,Dry,Single lane,Rural
BD202000154,Slight,09-02-2020,22.904637,89.4853,Darkness - lights lit,Khulna,10,5,Pickup,Dry,Single lane,Urban
BD202000155,Fatal,13-06-2020,23.896794,89.01863,Darkness - lights lit,Kushtia,9,2,Truck,Slippery,Narrow road,Urban
BD202000156,Slight,15-09-2020,24.79997,91.979736,Darkness - lights lit,Sylhet,1,2,Pickup,Wet or damp,Single lane,Rural
BD202000157,Slight,24-05-2020,23.690796,90.547434,Darkness - no lights,Narayanganj,7,3,Bus,Slippery,Dual carriage,Rural
BD202000158,Serious,18-02-2020,22.963791,91.310391,Darkness - no lights,Feni,7,3,Car,Slippery,Dual carriage,Urban
BD202000159,Slight,28-06-2020,22.747987,91.039858,Darkness - no lights,Noakhali,7,2,Truck,Slippery,Narrow road,Rural
BD202000160,Fatal,25-11-2020,23.176545,89.271503,Darkness - no lights,Jessore,3,5,Van,Slippery,Dual carriage,Rural
BD202000161,Serious,07-06-2020,24.926939,91.815884,Daylight,Sylhet,4,3,Motorcycle,Wet or damp,Dual carriage,Urban
BD202000162,Slight,31-05-2020,24.454573,88.681195,Darkness - no lights,Rajshahi,9,5,Bus,Slippery,Narrow road,Urban
BD202000163,Fatal,01-11-2020,23.634471,90.527213,Darkness - no lights,Narayanganj,3,2,Car,Under construction,Dual carriage,Rural
BD202000164,Serious,05-07-2020,24.73102,90.359755,Darkness - no lights,Mymensingh,8,5,Pickup,Wet or damp,Narrow road,Urban
BD202000165,Slight,07-06-2020,23.880195,89.181683,Darkness - no lights,Kushtia,4,3,Pickup,Under construction,Single lane,Rural
BD202000166,Fatal,14-09-2020,23.908879,89.141657,Darkness - no lights,Pabna,7,2,Car,Slippery,Dual carriage,Rural
BD202000167,Fatal,09-07-2020,22.891201,91.278575,Darkness - lights lit,Feni,2,5,Truck,Wet or damp,Single lane,Rural
BD202000168,Fatal,19-09-2020,22.772092,90.402378,Darkness - lights lit,Barisal,7,1,Rickshaw,Dry,Single lane,Urban
BD202000169,Serious,21-07-2020,24.000835,89.13728,Daylight,Pabna,6,2,Rickshaw,Wet or damp,Dual carriage,Rural
BD202000170,Fatal,20-02-2020,23.165023,89.213633,Darkness - lights lit,Jessore,3,2,Pickup,Wet or damp,Narrow road,Rural
BD202000171,Serious,17-08-2020,23.74494,90.396624,Daylight,Dhaka,2,1,Car,Under construction,Dual carriage,Rural
BD202000172,Fatal,01-05-2020,22.796401,91.127604,Darkness - lights lit,Noakhali,2,1,Pickup,Dry,Dual carriage,Rural
BD202000173,Slight,01-11-2020,23.009019,91.279673,Daylight,Feni,1,5,Car,Slippery,Single lane,Urban
BD202000174,Serious,10-11-2020,24.824923,89.400206,Daylight,Bogura,4,5,Truck,Slippery,Dual carriage,Urban
BD202000175,Serious,18-07-2020,23.909627,89.205358,Darkness - lights lit,Kushtia,1,4,Bus,Slippery,Dual carriage,Rural
BD202000176,Fatal,03-05-2020,24.395339,88.543204,Daylight,Rajshahi,10,3,Rickshaw,Slippery,Narrow road,Urban
BD202000177,Fatal,16-12-2020,23.915114,90.454181,Daylight,Gazipur,8,2,Pickup,Dry,Single lane,Urban
BD202000178,Serious,23-01-2020,25.649202,89.295786,Darkness - no lights,Rangpur,1,3,Van,Under construction,Single lane,Urban
BD202000179,Fatal,27-11-2020,25.831946,89.293314,Darkness - no lights,Rangpur,5,3,Rickshaw,Slippery,Dual carriage,Rural
BD202000180,Serious,11-08-2020,23.601234,90.534789,Daylight,Narayanganj,8,4,Pickup,Under construction,Single lane,Rural
BD202000181,Slight,12-02-2020,24.241651,89.927648,Daylight,Tangail,2,4,Bicycle,Slippery,Dual carriage,Urban
BD202000182,Slight,16-06-2020,22.904993,91.072465,Darkness - no lights,Noakhali,5,4,Van,Wet or damp,Narrow road,Rural
BD202000183,Slight,28-06-2020,24.093238,90.517284,Darkness - lights lit,Gazipur,1,3,Bicycle,Dry,Dual carriage,Rural
BD202000184,Fatal,05-07-2020,23.945158,89.130447,Darkness - no lights,Pabna,3,1,Pickup,Dry,Dual carriage,Urban
BD202000185,Slight,30-04-2020,24.770156,89.254373,Daylight,Bogura,6,4,Car,Under construction,Single lane,Rural
BD202000186,Slight,15-08-2020,22.764489,89.584222,Darkness - lights lit,Khulna,10,2,Van,Slippery,Narrow road,Rural
BD202000187,Serious,07-05-2020,24.277838,88.580654,Darkness - no lights,Rajshahi,1,2,Van,Dry,Single lane,Rural
BD202000188,Serious,26-12-2020,24.069975,90.305585,Darkness - no lights,Gazipur,4,5,Pickup,Wet or damp,Dual carriage,Urban
BD202000189,Fatal,07-02-2020,24.063894,90.367645,Darkness - no lights,Gazipur,3,4,Rickshaw,Slippery,Narrow road,Urban
BD202000190,Fatal,08-10-2020,22.905633,91.436017,Darkness - no lights,Feni,5,3,Car,Slippery,Narrow road,Urban
BD202000191,Serious,03-03-2020,25.769689,89.365793,Daylight,Rangpur,3,2,Rickshaw,Slippery,Single lane,Urban
BD202000192,Serious,09-11-2020,22.892614,89.613135,Darkness - no lights,Khulna,2,3,Pickup,Under construction,Single lane,Urban
BD202000193,Serious,05-03-2020,23.123107,89.142585,Darkness - no lights,Jessore,2,4,Rickshaw,Wet or damp,Narrow road,Urban
BD202000194,Fatal,07-03-2020,24.300123,89.99034,Darkness - no lights,Tangail,9,1,Car,Slippery,Dual carriage,Urban
BD202000195,Serious,14-06-2020,24.845201,90.399328,Daylight,Mymensingh,6,5,Bicycle,Wet or damp,Narrow road,Rural
BD202000196,Fatal,05-03-2020,22.791104,91.166139,Darkness - no lights,Noakhali,10,5,Car,Wet or damp,Dual carriage,Rural
BD202000197,Fatal,15-10-2020,22.325061,91.886582,Darkness - no lights,Chattogram,1,1,Bicycle,Wet or damp,Narrow road,Rural
BD202000198,Serious,12-11-2020,23.881983,90.395459,Darkness - no lights,Dhaka,8,5,Bicycle,Under construction,Dual carriage,Rural
BD202000199,Fatal,01-06-2020,24.051174,90.48109,Darkness - lights lit,Gazipur,2,1,Van,Under construction,Single lane,Urban
BD202000200,Slight,23-06-2020,22.621625,90.450113,Darkness - lights lit,Barisal,6,3,Van,Wet or damp,Single lane,Urban
BD202000201,Serious,12-06-2020,24.74815,90.49865,Darkness - lights lit,Mymensingh,8,1,Motorcycle,Wet or damp,Dual carriage,Urban
BD202000202,Fatal,28-05-2020,23.58761,90.595326,Daylight,Narayanganj,10,4,Rickshaw,Slippery,Dual carriage,Urban
BD202000203,Serious,12-09-2020,23.98384,89.116401,Darkness - lights lit,Pabna,8,4,Bus,Dry,Single lane,Rural
BD202000204,Fatal,03-05-2020,25.824976,89.177109,Daylight,Rangpur,10,3,Bicycle,Under construction,Narrow road,Rural
BD202000205,Serious,26-05-2020,22.945863,91.496815,Daylight,Feni,1,1,Bicycle,Slippery,Single lane,Rural
BD202000206,Slight,24-01-2020,23.713721,90.518025,Daylight,Narayanganj,1,5,Rickshaw,Slippery,Dual carriage,Rural
BD202000207,Slight,15-09-2020,24.027367,90.407627,Darkness - no lights,Gazipur,9,3,Truck,Wet or damp,Dual carriage,Rural
BD202000208,Fatal,10-07-2020,23.125342,89.178879,Daylight,Jessore,9,3,Van,Dry,Dual carriage,Urban
BD202000209,Serious,11-03-2020,23.201204,89.28057,Daylight,Jessore,8,5,Car,Slippery,Narrow road,Rural
BD202000210,Slight,24-03-2020,23.681916,90.569908,Darkness - lights lit,Narayanganj,10,3,Pickup,Slippery,Single lane,Urban
BD202000211,Slight,07-07-2020,23.084941,89.218661,Darkness - lights lit,Jessore,2,4,Bus,Under construction,Single lane,Urban
